ID,Date,Value_forecast,Variable_forecast,ForecastDate
2,8/2/2017,82,MaxTemp,7/27/2017
3,8/1/2017,63,MinTemp,7/27/2017
3,8/1/2017,80,MaxTemp,7/27/2017
3,8/2/2017,79,MaxTemp,7/27/2017
4,8/1/2017,67,MinTemp,7/27/2017
4,8/1/2017,84,MaxTemp,7/27/2017
4,8/2/2017,85,MaxTemp,7/27/2017
5,8/1/2017,65,MinTemp,7/27/2017
5,8/1/2017,84,MaxTemp,7/27/2017
5,8/2/2017,84,MaxTemp,7/27/2017
6,8/1/2017,62,MinTemp,7/27/2017
6,8/1/2017,86,MaxTemp,7/27/2017
6,8/2/2017,86,MaxTemp,7/27/2017
7,8/1/2017,58,MinTemp,7/27/2017
7,8/1/2017,80,MaxTemp,7/27/2017
7,8/2/2017,82,MaxTemp,7/27/2017
8,8/1/2017,64,MinTemp,7/27/2017
8,8/1/2017,86,MaxTemp,7/27/2017
8,8/2/2017,86,MaxTemp,7/27/2017
9,8/1/2017,68,MinTemp,7/27/2017
9,8/1/2017,84,MaxTemp,7/27/2017
9,8/2/2017,84,MaxTemp,7/27/2017
10,8/1/2017,64,MinTemp,7/27/2017
10,8/1/2017,85,MaxTemp,7/27/2017
10,8/2/2017,84,MaxTemp,7/27/2017
12,8/1/2017,70,MinTemp,7/27/2017
12,8/1/2017,81,MaxTemp,7/27/2017
12,8/2/2017,82,MaxTemp,7/27/2017
13,8/1/2017,69,MinTemp,7/27/2017
13,8/1/2017,86,MaxTemp,7/27/2017
13,8/2/2017,87,MaxTemp,7/27/2017
14,8/1/2017,68,MinTemp,7/27/2017
14,8/1/2017,84,MaxTemp,7/27/2017
14,8/2/2017,85,MaxTemp,7/27/2017
15,8/1/2017,63,MinTemp,7/27/2017
15,8/1/2017,84,MaxTemp,7/27/2017
15,8/2/2017,85,MaxTemp,7/27/2017
16,8/1/2017,63,MinTemp,7/27/2017
16,8/1/2017,78,MaxTemp,7/27/2017
16,8/2/2017,78,MaxTemp,7/27/2017
17,8/1/2017,64,MinTemp,7/27/2017
17,8/1/2017,83,MaxTemp,7/27/2017
17,8/2/2017,83,MaxTemp,7/27/2017
18,8/1/2017,71,MinTemp,7/27/2017
18,8/1/2017,88,MaxTemp,7/27/2017
18,8/2/2017,89,MaxTemp,7/27/2017
19,8/1/2017,68,MinTemp,7/27/2017
19,8/1/2017,89,MaxTemp,7/27/2017
19,8/2/2017,91,MaxTemp,7/27/2017
20,8/1/2017,72,MinTemp,7/27/2017
20,8/1/2017,84,MaxTemp,7/27/2017
20,8/2/2017,85,MaxTemp,7/27/2017
21,8/1/2017,67,MinTemp,7/27/2017
21,8/1/2017,87,MaxTemp,7/27/2017
21,8/2/2017,89,MaxTemp,7/27/2017
22,8/1/2017,66,MinTemp,7/27/2017
22,8/1/2017,81,MaxTemp,7/27/2017
22,8/2/2017,81,MaxTemp,7/27/2017
23,8/1/2017,73,MinTemp,7/27/2017
23,8/1/2017,86,MaxTemp,7/27/2017
23,8/2/2017,86,MaxTemp,7/27/2017
24,8/1/2017,64,MinTemp,7/27/2017
24,8/1/2017,84,MaxTemp,7/27/2017
24,8/2/2017,84,MaxTemp,7/27/2017
25,8/1/2017,65,MinTemp,7/27/2017
25,8/1/2017,88,MaxTemp,7/27/2017
25,8/2/2017,88,MaxTemp,7/27/2017
26,8/1/2017,81,MinTemp,7/27/2017
26,8/1/2017,88,MaxTemp,7/27/2017
26,8/2/2017,89,MaxTemp,7/27/2017
27,8/1/2017,69,MinTemp,7/27/2017
27,8/1/2017,87,MaxTemp,7/27/2017
27,8/2/2017,88,MaxTemp,7/27/2017
28,8/1/2017,70,MinTemp,7/27/2017
28,8/1/2017,89,MaxTemp,7/27/2017
28,8/2/2017,90,MaxTemp,7/27/2017
29,8/1/2017,73,MinTemp,7/27/2017
29,8/1/2017,87,MaxTemp,7/27/2017
29,8/2/2017,86,MaxTemp,7/27/2017
30,8/1/2017,68,MinTemp,7/27/2017
30,8/1/2017,82,MaxTemp,7/27/2017
30,8/2/2017,84,MaxTemp,7/27/2017
31,8/1/2017,64,MinTemp,7/27/2017
31,8/1/2017,87,MaxTemp,7/27/2017
31,8/2/2017,86,MaxTemp,7/27/2017
32,8/1/2017,75,MinTemp,7/27/2017
32,8/1/2017,86,MaxTemp,7/27/2017
32,8/2/2017,87,MaxTemp,7/27/2017
33,8/1/2017,83,MinTemp,7/27/2017
33,8/1/2017,90,MaxTemp,7/27/2017
33,8/2/2017,89,MaxTemp,7/27/2017
34,8/1/2017,76,MinTemp,7/27/2017
34,8/1/2017,86,MaxTemp,7/27/2017
34,8/2/2017,88,MaxTemp,7/27/2017
35,8/1/2017,65,MinTemp,7/27/2017
35,8/1/2017,85,MaxTemp,7/27/2017
35,8/2/2017,85,MaxTemp,7/27/2017
36,8/1/2017,68,MinTemp,7/27/2017
36,8/1/2017,85,MaxTemp,7/27/2017
36,8/2/2017,84,MaxTemp,7/27/2017
37,8/1/2017,67,MinTemp,7/27/2017
37,8/1/2017,88,MaxTemp,7/27/2017
37,8/2/2017,87,MaxTemp,7/27/2017
38,8/1/2017,61,MinTemp,7/27/2017
38,8/1/2017,77,MaxTemp,7/27/2017
38,8/2/2017,75,MaxTemp,7/27/2017
39,8/1/2017,71,MinTemp,7/27/2017
39,8/1/2017,87,MaxTemp,7/27/2017
39,8/2/2017,88,MaxTemp,7/27/2017
40,8/1/2017,65,MinTemp,7/27/2017
40,8/1/2017,85,MaxTemp,7/27/2017
40,8/2/2017,88,MaxTemp,7/27/2017
41,8/1/2017,64,MinTemp,7/27/2017
41,8/1/2017,84,MaxTemp,7/27/2017
41,8/2/2017,84,MaxTemp,7/27/2017
42,8/1/2017,67,MinTemp,7/27/2017
42,8/1/2017,87,MaxTemp,7/27/2017
42,8/2/2017,89,MaxTemp,7/27/2017
43,8/1/2017,65,MinTemp,7/27/2017
43,8/1/2017,84,MaxTemp,7/27/2017
43,8/2/2017,85,MaxTemp,7/27/2017
44,8/1/2017,71,MinTemp,7/27/2017
44,8/1/2017,89,MaxTemp,7/27/2017
44,8/2/2017,90,MaxTemp,7/27/2017
45,8/1/2017,69,MinTemp,7/27/2017
45,8/1/2017,90,MaxTemp,7/27/2017
45,8/2/2017,90,MaxTemp,7/27/2017
46,8/1/2017,70,MinTemp,7/27/2017
46,8/1/2017,89,MaxTemp,7/27/2017
46,8/2/2017,91,MaxTemp,7/27/2017
47,8/1/2017,69,MinTemp,7/27/2017
47,8/1/2017,82,MaxTemp,7/27/2017
47,8/2/2017,82,MaxTemp,7/27/2017
48,8/1/2017,65,MinTemp,7/27/2017
48,8/1/2017,80,MaxTemp,7/27/2017
48,8/2/2017,80,MaxTemp,7/27/2017
49,8/1/2017,75,MinTemp,7/27/2017
49,8/1/2017,89,MaxTemp,7/27/2017
49,8/2/2017,89,MaxTemp,7/27/2017
50,8/1/2017,66,MinTemp,7/27/2017
50,8/1/2017,87,MaxTemp,7/27/2017
50,8/2/2017,87,MaxTemp,7/27/2017
51,8/1/2017,72,MinTemp,7/27/2017
51,8/1/2017,90,MaxTemp,7/27/2017
51,8/2/2017,90,MaxTemp,7/27/2017
52,8/1/2017,77,MinTemp,7/27/2017
52,8/1/2017,88,MaxTemp,7/27/2017
52,8/2/2017,90,MaxTemp,7/27/2017
53,8/1/2017,72,MinTemp,7/27/2017
53,8/1/2017,90,MaxTemp,7/27/2017
53,8/2/2017,91,MaxTemp,7/27/2017
54,8/1/2017,68,MinTemp,7/27/2017
54,8/1/2017,89,MaxTemp,7/27/2017
54,8/2/2017,90,MaxTemp,7/27/2017
55,8/1/2017,64,MinTemp,7/27/2017
55,8/1/2017,82,MaxTemp,7/27/2017
55,8/2/2017,83,MaxTemp,7/27/2017
56,8/1/2017,58,MinTemp,7/27/2017
56,8/1/2017,79,MaxTemp,7/27/2017
56,8/2/2017,75,MaxTemp,7/27/2017
57,8/1/2017,71,MinTemp,7/27/2017
57,8/1/2017,90,MaxTemp,7/27/2017
57,8/2/2017,90,MaxTemp,7/27/2017
58,8/1/2017,65,MinTemp,7/27/2017
58,8/1/2017,84,MaxTemp,7/27/2017
58,8/2/2017,83,MaxTemp,7/27/2017
59,8/1/2017,67,MinTemp,7/27/2017
59,8/1/2017,88,MaxTemp,7/27/2017
59,8/2/2017,88,MaxTemp,7/27/2017
60,8/1/2017,66,MinTemp,7/27/2017
60,8/1/2017,87,MaxTemp,7/27/2017
60,8/2/2017,88,MaxTemp,7/27/2017
61,8/1/2017,72,MinTemp,7/27/2017
61,8/1/2017,92,MaxTemp,7/27/2017
61,8/2/2017,92,MaxTemp,7/27/2017
62,8/1/2017,68,MinTemp,7/27/2017
62,8/1/2017,87,MaxTemp,7/27/2017
62,8/2/2017,88,MaxTemp,7/27/2017
63,8/1/2017,66,MinTemp,7/27/2017
63,8/1/2017,87,MaxTemp,7/27/2017
63,8/2/2017,88,MaxTemp,7/27/2017
64,8/1/2017,64,MinTemp,7/27/2017
64,8/1/2017,85,MaxTemp,7/27/2017
64,8/2/2017,84,MaxTemp,7/27/2017
65,8/1/2017,76,MinTemp,7/27/2017
65,8/1/2017,94,MaxTemp,7/27/2017
65,8/2/2017,93,MaxTemp,7/27/2017
66,8/1/2017,61,MinTemp,7/27/2017
66,8/1/2017,85,MaxTemp,7/27/2017
66,8/2/2017,83,MaxTemp,7/27/2017
67,8/1/2017,68,MinTemp,7/27/2017
67,8/1/2017,87,MaxTemp,7/27/2017
67,8/2/2017,86,MaxTemp,7/27/2017
68,8/1/2017,71,MinTemp,7/27/2017
68,8/1/2017,89,MaxTemp,7/27/2017
68,8/2/2017,88,MaxTemp,7/27/2017
69,8/1/2017,76,MinTemp,7/27/2017
69,8/1/2017,97,MaxTemp,7/27/2017
69,8/2/2017,98,MaxTemp,7/27/2017
70,8/1/2017,64,MinTemp,7/27/2017
70,8/1/2017,92,MaxTemp,7/27/2017
70,8/2/2017,89,MaxTemp,7/27/2017
71,8/1/2017,62,MinTemp,7/27/2017
71,8/1/2017,86,MaxTemp,7/27/2017
71,8/2/2017,87,MaxTemp,7/27/2017
72,8/1/2017,61,MinTemp,7/27/2017
72,8/1/2017,88,MaxTemp,7/27/2017
72,8/2/2017,86,MaxTemp,7/27/2017
73,8/1/2017,63,MinTemp,7/27/2017
73,8/1/2017,83,MaxTemp,7/27/2017
73,8/2/2017,85,MaxTemp,7/27/2017
74,8/1/2017,64,MinTemp,7/27/2017
74,8/1/2017,84,MaxTemp,7/27/2017
74,8/2/2017,85,MaxTemp,7/27/2017
75,8/1/2017,71,MinTemp,7/27/2017
75,8/1/2017,93,MaxTemp,7/27/2017
75,8/2/2017,94,MaxTemp,7/27/2017
76,8/1/2017,58,MinTemp,7/27/2017
76,8/1/2017,82,MaxTemp,7/27/2017
76,8/2/2017,83,MaxTemp,7/27/2017
77,8/1/2017,55,MinTemp,7/27/2017
77,8/1/2017,78,MaxTemp,7/27/2017
77,8/2/2017,79,MaxTemp,7/27/2017
78,8/1/2017,59,MinTemp,7/27/2017
78,8/1/2017,83,MaxTemp,7/27/2017
78,8/2/2017,84,MaxTemp,7/27/2017
79,8/1/2017,60,MinTemp,7/27/2017
79,8/1/2017,82,MaxTemp,7/27/2017
79,8/2/2017,83,MaxTemp,7/27/2017
80,8/1/2017,75,MinTemp,7/27/2017
80,8/1/2017,94,MaxTemp,7/27/2017
80,8/2/2017,93,MaxTemp,7/27/2017
81,8/1/2017,66,MinTemp,7/27/2017
81,8/1/2017,88,MaxTemp,7/27/2017
81,8/2/2017,91,MaxTemp,7/27/2017
82,8/1/2017,57,MinTemp,7/27/2017
82,8/1/2017,84,MaxTemp,7/27/2017
82,8/2/2017,86,MaxTemp,7/27/2017
83,8/1/2017,58,MinTemp,7/27/2017
83,8/1/2017,96,MaxTemp,7/27/2017
83,8/2/2017,95,MaxTemp,7/27/2017
84,8/1/2017,69,MinTemp,7/27/2017
84,8/1/2017,92,MaxTemp,7/27/2017
84,8/2/2017,92,MaxTemp,7/27/2017
85,8/1/2017,65,MinTemp,7/27/2017
85,8/1/2017,95,MaxTemp,7/27/2017
85,8/2/2017,96,MaxTemp,7/27/2017
86,8/1/2017,56,MinTemp,7/27/2017
86,8/1/2017,78,MaxTemp,7/27/2017
86,8/2/2017,78,MaxTemp,7/27/2017
87,8/1/2017,73,MinTemp,7/27/2017
87,8/1/2017,92,MaxTemp,7/27/2017
87,8/2/2017,94,MaxTemp,7/27/2017
88,8/1/2017,58,MinTemp,7/27/2017
88,8/1/2017,87,MaxTemp,7/27/2017
88,8/2/2017,88,MaxTemp,7/27/2017
89,8/1/2017,60,MinTemp,7/27/2017
89,8/1/2017,93,MaxTemp,7/27/2017
89,8/2/2017,91,MaxTemp,7/27/2017
90,8/1/2017,86,MinTemp,7/27/2017
90,8/1/2017,106,MaxTemp,7/27/2017
90,8/2/2017,107,MaxTemp,7/27/2017
91,8/1/2017,57,MinTemp,7/27/2017
91,8/1/2017,90,MaxTemp,7/27/2017
91,8/2/2017,91,MaxTemp,7/27/2017
92,8/1/2017,76,MinTemp,7/27/2017
92,8/1/2017,101,MaxTemp,7/27/2017
92,8/2/2017,101,MaxTemp,7/27/2017
93,8/1/2017,55,MinTemp,7/27/2017
93,8/1/2017,90,MaxTemp,7/27/2017
93,8/2/2017,88,MaxTemp,7/27/2017
94,8/1/2017,90,MinTemp,7/27/2017
94,8/1/2017,111,MaxTemp,7/27/2017
94,8/2/2017,112,MaxTemp,7/27/2017
95,8/1/2017,84,MinTemp,7/27/2017
95,8/1/2017,101,MaxTemp,7/27/2017
95,8/2/2017,103,MaxTemp,7/27/2017
96,8/1/2017,66,MinTemp,7/27/2017
96,8/1/2017,98,MaxTemp,7/27/2017
96,8/2/2017,98,MaxTemp,7/27/2017
97,8/1/2017,67,MinTemp,7/27/2017
97,8/1/2017,100,MaxTemp,7/27/2017
97,8/2/2017,100,MaxTemp,7/27/2017
98,8/1/2017,63,MinTemp,7/27/2017
98,8/1/2017,87,MaxTemp,7/27/2017
98,8/2/2017,87,MaxTemp,7/27/2017
99,8/1/2017,71,MinTemp,7/27/2017
99,8/1/2017,79,MaxTemp,7/27/2017
99,8/2/2017,78,MaxTemp,7/27/2017
100,8/1/2017,64,MinTemp,7/27/2017
100,8/1/2017,95,MaxTemp,7/27/2017
100,8/2/2017,97,MaxTemp,7/27/2017
101,8/1/2017,56,MinTemp,7/27/2017
101,8/1/2017,93,MaxTemp,7/27/2017
101,8/2/2017,91,MaxTemp,7/27/2017
102,8/1/2017,69,MinTemp,7/27/2017
102,8/1/2017,85,MaxTemp,7/27/2017
102,8/2/2017,85,MaxTemp,7/27/2017
103,8/1/2017,73,MinTemp,7/27/2017
103,8/1/2017,101,MaxTemp,7/27/2017
103,8/2/2017,100,MaxTemp,7/27/2017
104,8/1/2017,65,MinTemp,7/27/2017
104,8/1/2017,95,MaxTemp,7/27/2017
104,8/2/2017,93,MaxTemp,7/27/2017
105,8/1/2017,65,MinTemp,7/27/2017
105,8/1/2017,100,MaxTemp,7/27/2017
105,8/2/2017,99,MaxTemp,7/27/2017
106,8/1/2017,55,MinTemp,7/27/2017
106,8/1/2017,91,MaxTemp,7/27/2017
106,8/2/2017,89,MaxTemp,7/27/2017
108,8/1/2017,56,MinTemp,7/27/2017
108,8/1/2017,67,MaxTemp,7/27/2017
108,8/2/2017,67,MaxTemp,7/27/2017
109,8/1/2017,60,MinTemp,7/27/2017
109,8/1/2017,90,MaxTemp,7/27/2017
109,8/2/2017,88,MaxTemp,7/27/2017
110,8/1/2017,57,MinTemp,7/27/2017
110,8/1/2017,89,MaxTemp,7/27/2017
110,8/2/2017,89,MaxTemp,7/27/2017
112,8/1/2017,52,MinTemp,7/27/2017
112,8/1/2017,64,MaxTemp,7/27/2017
112,8/2/2017,64,MaxTemp,7/27/2017
113,8/1/2017,74,MinTemp,7/27/2017
113,8/1/2017,86,MaxTemp,7/27/2017
113,8/2/2017,86,MaxTemp,7/27/2017
11,8/1/2017,72,MinTemp,7/27/2017
11,8/1/2017,86,MaxTemp,7/27/2017
11,8/2/2017,86,MaxTemp,7/27/2017
111,8/1/2017,56,MinTemp,7/27/2017
111,8/1/2017,74,MaxTemp,7/27/2017
111,8/2/2017,75,MaxTemp,7/27/2017
1,8/1/2017,56,MinTemp,7/28/2017
1,8/2/2017,58,MinTemp,7/28/2017
1,8/1/2017,70,MaxTemp,7/28/2017
1,8/2/2017,72,MaxTemp,7/28/2017
1,8/3/2017,73,MaxTemp,7/28/2017
2,8/1/2017,60,MinTemp,7/28/2017
2,8/2/2017,61,MinTemp,7/28/2017
2,8/1/2017,81,MaxTemp,7/28/2017
2,8/2/2017,83,MaxTemp,7/28/2017
2,8/3/2017,83,MaxTemp,7/28/2017
3,8/1/2017,60,MinTemp,7/28/2017
3,8/2/2017,63,MinTemp,7/28/2017
3,8/1/2017,76,MaxTemp,7/28/2017
3,8/2/2017,80,MaxTemp,7/28/2017
3,8/3/2017,81,MaxTemp,7/28/2017
4,8/1/2017,63,MinTemp,7/28/2017
4,8/2/2017,70,MinTemp,7/28/2017
4,8/1/2017,78,MaxTemp,7/28/2017
4,8/2/2017,87,MaxTemp,7/28/2017
4,8/3/2017,84,MaxTemp,7/28/2017
5,8/1/2017,62,MinTemp,7/28/2017
5,8/2/2017,67,MinTemp,7/28/2017
5,8/1/2017,79,MaxTemp,7/28/2017
5,8/2/2017,86,MaxTemp,7/28/2017
5,8/3/2017,83,MaxTemp,7/28/2017
6,8/1/2017,60,MinTemp,7/28/2017
6,8/2/2017,67,MinTemp,7/28/2017
6,8/1/2017,78,MaxTemp,7/28/2017
6,8/2/2017,87,MaxTemp,7/28/2017
6,8/3/2017,85,MaxTemp,7/28/2017
7,8/1/2017,59,MinTemp,7/28/2017
7,8/2/2017,60,MinTemp,7/28/2017
7,8/1/2017,83,MaxTemp,7/28/2017
7,8/2/2017,82,MaxTemp,7/28/2017
7,8/3/2017,77,MaxTemp,7/28/2017
8,8/1/2017,61,MinTemp,7/28/2017
8,8/2/2017,65,MinTemp,7/28/2017
8,8/1/2017,83,MaxTemp,7/28/2017
8,8/2/2017,87,MaxTemp,7/28/2017
8,8/3/2017,85,MaxTemp,7/28/2017
9,8/1/2017,67,MinTemp,7/28/2017
9,8/2/2017,69,MinTemp,7/28/2017
9,8/1/2017,83,MaxTemp,7/28/2017
9,8/2/2017,86,MaxTemp,7/28/2017
9,8/3/2017,85,MaxTemp,7/28/2017
10,8/1/2017,65,MinTemp,7/28/2017
10,8/2/2017,66,MinTemp,7/28/2017
10,8/1/2017,85,MaxTemp,7/28/2017
10,8/2/2017,85,MaxTemp,7/28/2017
10,8/3/2017,83,MaxTemp,7/28/2017
11,8/1/2017,71,MinTemp,7/28/2017
11,8/2/2017,73,MinTemp,7/28/2017
11,8/1/2017,85,MaxTemp,7/28/2017
11,8/2/2017,88,MaxTemp,7/28/2017
11,8/3/2017,87,MaxTemp,7/28/2017
12,8/1/2017,70,MinTemp,7/28/2017
12,8/2/2017,71,MinTemp,7/28/2017
12,8/1/2017,81,MaxTemp,7/28/2017
12,8/2/2017,83,MaxTemp,7/28/2017
12,8/3/2017,83,MaxTemp,7/28/2017
13,8/1/2017,70,MinTemp,7/28/2017
13,8/2/2017,72,MinTemp,7/28/2017
13,8/1/2017,86,MaxTemp,7/28/2017
13,8/2/2017,88,MaxTemp,7/28/2017
13,8/3/2017,89,MaxTemp,7/28/2017
14,8/1/2017,69,MinTemp,7/28/2017
14,8/2/2017,70,MinTemp,7/28/2017
14,8/1/2017,84,MaxTemp,7/28/2017
14,8/2/2017,86,MaxTemp,7/28/2017
14,8/3/2017,86,MaxTemp,7/28/2017
15,8/1/2017,63,MinTemp,7/28/2017
15,8/2/2017,65,MinTemp,7/28/2017
15,8/1/2017,83,MaxTemp,7/28/2017
15,8/2/2017,84,MaxTemp,7/28/2017
15,8/3/2017,84,MaxTemp,7/28/2017
16,8/1/2017,65,MinTemp,7/28/2017
16,8/2/2017,66,MinTemp,7/28/2017
16,8/1/2017,80,MaxTemp,7/28/2017
16,8/2/2017,82,MaxTemp,7/28/2017
16,8/3/2017,78,MaxTemp,7/28/2017
17,8/1/2017,65,MinTemp,7/28/2017
17,8/2/2017,66,MinTemp,7/28/2017
17,8/1/2017,82,MaxTemp,7/28/2017
17,8/2/2017,83,MaxTemp,7/28/2017
17,8/3/2017,79,MaxTemp,7/28/2017
18,8/1/2017,70,MinTemp,7/28/2017
18,8/2/2017,72,MinTemp,7/28/2017
18,8/1/2017,86,MaxTemp,7/28/2017
18,8/2/2017,89,MaxTemp,7/28/2017
18,8/3/2017,89,MaxTemp,7/28/2017
19,8/1/2017,67,MinTemp,7/28/2017
19,8/2/2017,69,MinTemp,7/28/2017
19,8/1/2017,88,MaxTemp,7/28/2017
19,8/2/2017,90,MaxTemp,7/28/2017
19,8/3/2017,90,MaxTemp,7/28/2017
20,8/1/2017,72,MinTemp,7/28/2017
20,8/2/2017,72,MinTemp,7/28/2017
20,8/1/2017,85,MaxTemp,7/28/2017
20,8/2/2017,86,MaxTemp,7/28/2017
20,8/3/2017,87,MaxTemp,7/28/2017
21,8/1/2017,66,MinTemp,7/28/2017
21,8/2/2017,68,MinTemp,7/28/2017
21,8/1/2017,86,MaxTemp,7/28/2017
21,8/2/2017,87,MaxTemp,7/28/2017
21,8/3/2017,88,MaxTemp,7/28/2017
22,8/1/2017,67,MinTemp,7/28/2017
22,8/2/2017,68,MinTemp,7/28/2017
22,8/1/2017,83,MaxTemp,7/28/2017
22,8/2/2017,84,MaxTemp,7/28/2017
22,8/3/2017,80,MaxTemp,7/28/2017
23,8/1/2017,72,MinTemp,7/28/2017
23,8/2/2017,74,MinTemp,7/28/2017
23,8/1/2017,87,MaxTemp,7/28/2017
23,8/2/2017,88,MaxTemp,7/28/2017
23,8/3/2017,88,MaxTemp,7/28/2017
